team,league
TBL,NHL
BOS,NHL
TOR,NHL
MTL,NHL
FLA,NHL
BUF,NHL
DET,NHL
OTT,NHL
WSH,NHL
NYI,NHL
PIT,NHL
CAR,NHL
CBJ,NHL
PHI,NHL
NYR,NHL
NJD,NHL
NSH,NHL
WPG,NHL
STL,NHL
DAL,NHL
COL,NHL
CHI,NHL
MIN,NHL
CGY,NHL
SJS,NHL
VEG,NHL
ARI,NHL
VAN,NHL
ANA,NHL
EDM,NHL
LAK,NHL
